,docid,feature_vector,,,,
1,text 1,c(7.56757721275496,7.45329144,6.931008027,6.931008027, 6.51102965842087)
2,text 2,c(14.7947431493202,12.47581445,10.4791757,8.828840082, 7.81146432228237)
3,text 3,c(8.82884008154745,7.45329144,6.986117135,6.5754414, 5.82176427892219)
4,text 4,c(9.31661430060228,9.164023381,8.828840082,8.828840082, 8.15046999049106)
5,text 5,c(14.9065828809636,13.04326002,11.17993716,11.17993716, 9.31661430060228)
6,text 6,c(15.942683407492,12.19231202,9.323532718,8.15046999, 7.55954761171252)
7,text 7,c(11.3513658191324,10.5625616,9.090803507,8.15046999, 8.14579856084959)
8,text 8,c(15.2482176594087,10.93605005,10.77317715,8.828840082, 7.81146432228237)
9,text 9,c(18.2444245894417,13.18405755,7.45329144,6.805284754, 6.36356245476792)
10,text 10,c(13.0432600208432,12.1610071,8.882636924,8.317209632, 6.93100802700397)
11,text 11,c(10.9360500511953,9.316614301,8.642095858,6.493242785, 5.58996858036137)
12,text 12,c(15.2482176594087,9.999883857,9.703411238,9.316614301, 9.31661430060228)
13,text 13,c(31.8826369242183,24.22319718,18.91894303,11.17993716, 9.31661430060228)
14,text 14,c(8.64209585815661,6.5754414,6.306314344,5.952139219, 5.84569259167627)
15,text 15,c(8.64209585815661,8.606337893,7.596201268,7.45329144, 6.51102965842087)
16,text 16,c(8.31720963240476,8.15046999,7.575449915,7.45329144, 7.25123165210984)
17,text 17,c(11.5227944775421,9.314822846,8.434392967,8.317209632, 7.45329144048182)
18,text 18,c(8.14579856084959,6.961613326,5.695865449,5.58996858, 5.58996858036137)
19,text 19,c(9.76654448763131,9.766544488,9.316614301,6.273132913, 6.2491714578259)
20,text 20,c(18.6332286012046,13.04326002,11.93688771,9.987955891, 9.70341123780555)
21,text 21,c(12.4983429156518,7.057274527,6.747514373,6.45475342, 6.30631434396247)
22,text 22,c(20.496551461325,15.13658713,12.54626583,10.93605005, 9.31661430060228)
23,text 23,c(12.0865200416864,7.596201268,7.01483111,6.249171458, 5.58996858036137)
24,text 24,c(16.6344192648095,13.86201605,9.316614301,9.316614301, 8.31720963240476)
25,text 25,c(6.87231601064775,6.109348921,5.753511225,5.045051475, 4.68687859336942)
26,text 26,c(10.9360500511953,9.316614301,7.45329144,7.272642805, 6.90658288096365)
27,text 27,c(12.4758144486071,7.811464322,6.511029658,5.821764279, 5.06299150993746)
28,text 28,c(17.2725266629415,6.931008027,5.544806422,5.091124101, 4.68687859336942)
29,text 29,c(10.9089642081736,5.245656555,5.045051475,4.704849684, 4.68687859336942)
30,text 30,c(12.4758144486071,7.811464322,7.45329144,6.242472432, 6.04326002084319)
31,text 31,c(14.9819338360165,13.97223427,9.316614301,9.316614301, 7.81146432228237)
32,text 32,c(11.6435285578444,11.64352856,10.1822482,8.183969628, 7.6818629850281)
33,text 33,c(6.93100802700397,6.721630112,5.762397078,5.58996858, 5.58996858036137)
34,text 34,c(10.8517160973681,9.373757187,8.317209632,7.45329144, 7.1275737407434)
35,text 35,c(213.17169783453,9.766544488,6.493242785,6.249171458, 6.08893899060935)
36,text 36,c(16.3009399809821,14.14960418,8.633228601,7.596201268, 6.28045103931505)
37,text 37,c(7.56757721275496,7.45329144,7.45329144,5.58996858, 5.58996858036137)
38,text 38,c(14.9065828809636,11.17993716,10.93605005,9.409699369, 7.45329144048182)
39,text 39,c(18.6332286012046,10.93605005,9.703411238,6.249171458, 5.99503606250895)
